KOMMUN,KOMMUNKOD,year,pop,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Botkyrka,127,2015,66519,8241,8261,8243,8250,8220,8253,8226,8190,8144,8106,8076,8010,7984,7970,7960,7948,7940,7935,7906,7899,7904,7903,7929,7985,8045,8083,8119,8118,8138,8153,8155,8184,8164,8139,8116,8091,8085,8094,8071,8071,8074,8064,8075,8054,8038,8025,8005,8000,7994,7995,7981,7999,8001
Danderyd,162,2015,22294,583,581,570,562,566,563,559,562,566,566,564,562,561,567,563,560,562,566,559,559,549,548,550,552,555,560,568,567,569,575,582,584,584,578,574,570,570,559,552,551,557,558,554,548,549,548,544,534,540,551,551,553,559
Ekerö,125,2015,19079,667,662,661,659,653,659,660,665,665,661,651,650,654,657,649,642,641,638,638,629,616,613,615,619,628,635,636,638,643,646,652,656,655,645,639,639,631,627,623,625,622,623,622,626,622,617,609,602,604,602,601,599,602
Haninge,136,2015,62730,4995,5008,4989,4981,4912,4926,4904,4914,4883,4882,4860,4837,4811,4809,4812,4811,4801,4751,4761,4759,4730,4723,4757,4796,4818,4857,4886,4896,4906,4913,4923,4953,4965,4967,4988,4976,4943,4896,4875,4907,4914,4900,4897,4889,4870,4873,4877,4857,4835,4849,4873,4902,4915
Huddinge,126,2015,77249,5432,5433,5423,5406,5395,5402,5392,5388,5403,5409,5400,5409,5414,5434,5416,5433,5441,5433,5418,5405,5382,5335,5349,5387,5406,5407,5441,5457,5493,5492,5503,5518,5537,5523,5522,5522,5529,5514,5503,5510,5513,5497,5483,5458,5454,5420,5417,5411,5408,5383,5357,5388,5398
Järfälla,123,2015,52803,4823,4806,4816,4828,4823,4833,4828,4815,4813,4828,4809,4792,4794,4802,4800,4812,4798,4787,4794,4804,4790,4816,4859,4897,4908,4915,4943,4954,4981,4986,5000,5032,5019,5016,5008,5026,5049,5026,5006,5010,4972,4928,4903,4875,4869,4857,4849,4841,4858,4849,4851,4860,4874
Lidingö,186,2015,32512,1159,1165,1169,1163,1155,1158,1151,1159,1156,1164,1161,1157,1150,1162,1156,1149,1147,1147,1157,1163,1158,1163,1182,1177,1185,1202,1207,1212,1211,1207,1210,1214,1225,1219,1213,1211,1201,1195,1189,1205,1206,1202,1209,1204,1196,1198,1193,1201,1196,1191,1188,1187,1187
Nacka,182,2015,70591,3461,3478,3477,3478,3445,3470,3462,3455,3450,3456,3433,3447,3443,3463,3471,3488,3490,3502,3495,3481,3484,3488,3492,3521,3534,3565,3573,3609,3617,3631,3643,3655,3658,3650,3643,3632,3639,3645,3624,3639,3625,3637,3606,3612,3618,3594,3580,3558,3541,3542,3561,3567,3576
Norrtälje,188,2015,43551,2557,2552,2560,2557,2561,2576,2568,2572,2580,2568,2567,2563,2534,2499,2498,2492,2502,2495,2468,2475,2467,2461,2450,2449,2458,2470,2472,2461,2449,2453,2468,2476,2477,2431,2440,2435,2461,2454,2450,2459,2473,2469,2468,2464,2470,2491,2482,2483,2472,2471,2487,2493,2512
Nykvarn,140,2015,7410,351,358,355,355,355,348,350,346,343,340,336,339,342,346,348,342,344,347,348,349,348,339,336,341,348,349,355,358,357,353,357,361,365,367,363,355,351,352,351,352,352,354,355,353,359,358,354,355,358,359,357,355,353
